FID  CapYear MumID
1 81 1990 1109
1 82 1990 1082
1 83 1990 1821
1 84 1990 1255
1 85 1990 1079
1 86 1990 2053
1 87 1990 1877
1 88 1990 2175
1 89 1990 2120
1 90 1990 1251
1 91 1990 2169
1 92 1990 749
1 93 1990 2171
1 94 1990 577
1 95 1990 1225
1 96 1990 1243
1 97 1990 2067
1 98 1990 2179
1 50 1990 21
1 99 1990 1586
1 100 1990 1083
1 45 1990 1660
1 101 1990 2105
1 102 1990 36
1 103 1990 29
1 104 1990 1077
1 105 1990 1078
1 106 1990 1769
1 107 1990 2164
1 108 1990 2178
1 109 1990 2163
1 110 1990 1251
1 111 1990 1082
1 112 1990 1891
1 113 1990 1877
1 36 1990 755
1 114 1990 2214
1 115 1990 1252
1 116 1990 2167
1 117 1990 1757
1 118 1990 1252
1 119 1990 1784
1 120 1990 2073
1 121 1990 1880
1 122 1991 1080
1 123 1991 1835
1 124 1991 2245
1 125 1991 425
1 126 1991 2176
1 127 1991 2165
1 128 1991 904
1 129 1991 577
1 130 1991 577
1 131 1991 2163
1 132 1991 1288
1 133 1991 2273
1 134 1991 755
1 135 1991 2066
1 136 1991 2363
1 137 1991 1097
1 138 1991 1825
1 139 1991 1825
1 140 1991 1899
1 141 1991 1899
1 142 1991 2143
1 143 1991 1098
1 144 1991 2291
1 145 1991 1101
1 146 1991 1101
1 147 1991 1242
1 148 1991 1242
1 149 1991 2164
1 150 1991 2164
1 151 1991 2341
1 152 1991 2178
1 153 1991 2172
1 48 1991 1741
1 43 1991 1259
1 154 1991 1090
1 155 1991 1090
1 156 1991 567
1 157 1991 906
1 158 1991 906
1 159 1991 1664
1 160 1991 1664
1 161 1991 1757
1 162 1991 1757
1 163 1991 1887
1 164 1991 1887
1 41 1991 2076
1 165 1991 2177
1 166 1991 1095
1 167 1991 1769
1 168 1991 1769
1 169 1991 36
1 170 1991 1072
1 171 1991 2167
1 172 1991 1255
1 173 1991 54
1 174 1991 29
1 175 1991 2353
1 176 1991 1109
1 177 1991 1109
1 178 1991 1262
1 54 1991 2366
1 179 1991 1660
1 180 1991 1083
1 181 1991 1820
1 182 1991 1820
1 183 1991 2374
1 184 1991 1880
1 185 1991 2064
1 186 1991 1554
1 187 1991 1663
1 188 1991 2175
1 189 1991 2073
1 190 1991 1079
1 191 1991 1252
1 192 1991 2262
1 193 1991 2315
1 194 1991 751
1 195 1991 1784
1 196 1991 2073
1 197 1991 1885
1 198 1991 1225
1 199 1991 749
1 200 1991 30
1 40 1991 2120
1 201 1991 905
1 202 1992 2245
1 203 1992 2349
1 204 1992 2178
1 205 1992 2323
1 206 1992 2375
1 207 1992 2262
1 208 1992 1741
1 209 1992 1882
1 210 1992 577
1 211 1992 1757
1 212 1992 1097
1 213 1992 2260
1 214 1992 2164
1 215 1992 1259
1 216 1992 2143
1 217 1992 2075
1 218 1992 1256
1 219 1992 1552
1 220 1992 905
1 221 1992 2363
1 37 1992 1080
1 222 1992 2353
1 223 1992 1258
1 224 1992 1885
1 225 1992 1662
1 226 1992 1072
1 227 1992 910
1 228 1992 1255
1 229 1992 1649
1 230 1992 1880
1 231 1992 1663
1 232 1992 1288
1 233 1992 1251
1 30 1992 1244
1 234 1992 1891
1 235 1992 2167
1 236 1992 1553
1 237 1992 2169
1 238 1992 2076
1 239 1992 2177
1 240 1992 1246
1 241 1992 1246
1 242 1992 2292
1 243 1992 36
1 244 1992 1877
1 245 1992 21
1 246 1992 2369
1 247 1992 30
1 248 1992 2073
1 249 1992 1664
1 250 1992 2073
1 251 1992 1089
1 252 1992 2164
1 253 1992 1660
1 254 1992 2066
1 255 1992 1877
1 256 1992 415
1 257 1992 2071
1 258 1993 2223
1 259 1993 2431
1 260 1993 2379
1 261 1993 2176
1 262 1993 2460
1 263 1993 2260
1 264 1993 2356
1 265 1993 2356
1 46 1993 2364
1 266 1993 2164
1 267 1993 2164
1 268 1993 2363
1 269 1993 1246
1 270 1993 1246
1 271 1993 2146
1 272 1993 2479
1 273 1993 2409
1 274 1993 2172
1 275 1993 2163
1 276 1993 577
1 277 1993 577
1 23 1993 2462
1 278 1993 2066
1 279 1993 2170
1 280 1993 2353
1 281 1993 1255
1 282 1993 1664
1 283 1993 2236
1 284 1993 2323
1 285 1993 2323
1 286 1993 1225
1 287 1993 2366
1 288 1993 2643
1 21 1993 2572
1 289 1993 2341
1 290 1993 2349
1 291 1993 1899
1 292 1993 1899
1 293 1993 1259
1 294 1993 2252
1 295 1993 2374
1 296 1993 2214
1 297 1993 2214
1 298 1993 2169
1 299 1993 2368
1 300 1993 2368
1 301 1993 2523
1 302 1993 2167
1 303 1993 2706
1 304 1993 2355
1 305 1993 2465
1 306 1993 2177
1 307 1993 2069
1 308 1993 1660
1 309 1993 1242
1 310 1993 1242
1 311 1993 1262
1 312 1993 1262
1 313 1993 2278
1 314 1993 2536
1 315 1993 1880
1 316 1993 2245
1 317 1993 1288
1 318 1993 1288
1 319 1993 2342
1 320 1993 2534
1 321 1993 1554
1 322 1993 1554
1 323 1993 2663
1 324 1993 1877
1 325 1993 2447
1 326 1993 1079
1 327 1993 2358
1 328 1993 2073
1 329 1993 1784
1 330 1993 1834
1 331 1993 2641
1 332 1993 2608
1 333 1993 2698
1 334 1993 2351
1 335 1993 2707
1 336 1993 2076
1 337 1993 2365
1 338 1993 2377
1 339 1993 2073
1 340 1994 2362
1 341 1995 2339
1 342 1995 2364
1 343 1995 2323
1 344 1995 2379
1 345 1995 2245
1 346 1995 2479
1 347 1995 2363
1 348 1995 2066
1 349 1995 2167
1 350 1995 2807
1 351 1995 2829
1 352 1995 2172
1 353 1995 2178
1 354 1995 2218
1 355 1995 1741
1 356 1995 2460
1 357 1995 2908
1 358 1995 2361
1 359 1995 2617
1 360 1995 2409
1 361 1995 2262
1 362 1995 2262
1 363 1995 2607
1 364 1995 2177
1 365 1995 2375
1 366 1995 2572
1 367 1995 2163
1 368 1995 2706
1 369 1995 2572
1 370 1995 1664
1 371 1995 2353
1 372 1995 2536
1 373 1995 2369
1 38 1995 30
1 374 1995 2075
1 375 1995 2644
1 376 1995 2365
1 377 1995 2365
1 378 1995 2631
1 32 1995 2421
1 379 1995 2421
1 380 1995 1876
1 381 1995 1649
1 382 1995 2071
1 383 1995 2073
1 384 1995 2073
1 385 1995 2707
1 13 1995 2377
1 386 1995 2699
1 387 1995 2641
1 388 1995 2417
1 29 1995 2658
1 389 1995 2698
1 390 1995 2695
1 391 1995 2830
1 392 1995 2637
1 393 1995 2376
1 394 1995 2447
1 395 1995 1757
1 396 1995 2064
1 397 1995 2686
1 398 1995 2545
1 399 1996 2170
