FID  BirthYear MumID
1 708 2001 2631
1 709 2001 2925
1 710 2001 2804
1 711 2001 2807
1 712 2001 2892
1 713 2001 2834
1 714 2001 3088
1 715 2001 3002
1 716 2001 3129
1 717 2001 3048
1 718 2001 3048
1 719 2001 3324
1 720 2001 3222
1 721 2001 3319
1 722 2001 3314
1 723 2001 3236
1 724 2001 3232
1 725 2001 3214
1 726 2001 3259
1 727 2001 3260
1 728 2001 3209
1 729 2001 3301
1 730 2001 3431
1 731 2001 3478
1 732 2001 3538
1 733 2001 3552
1 734 2001 3443
1 735 2001 3571
1 736 2001 3445
1 737 2001 3440
1 738 2001 3681
1 739 2001 4103
1 740 2001 4103
1 741 2001 3734
1 742 2001 3734
1 743 2001 3782
1 744 2001 3796
1 745 2001 3651
1 746 2001 3759
1 747 2001 3881
1 748 2001 3885
1 749 2001 3945
1 750 2001 4004
1 751 2001 4068
1 752 2001 2659
1 753 2001 4155
1 754 2001 4195
1 755 2001 4198
1 756 2001 4223
1 757 2001 4340
1 758 2001 4257
1 759 2001 4312
1 760 2001 2066
1 761 2001 51
1 762 2001 4303
1 763 2001 4306
1 764 2001 4308
1 765 2001 54
1 766 2001 75
1 767 2003 5119
1 768 2003 5076
1 769 2003 4361
1 770 2003 4258
1 771 2003 4410
1 772 2003 4241
1 773 2003 5103
1 774 2003 3762
1 775 2003 2908
1 776 2003 4223
1 777 2003 3559
1 778 2003 3771
1 779 2003 4631
1 780 2003 3748
1 781 2003 4734
1 782 2004 4157
1 783 2004 5078
1 784 2004 3885
1 785 2004 3885
1 4 2004 3641
1 786 2004 3291
1 787 2004 3291
1 788 2004 51
1 789 2004 2377
1 790 2004 3571
1 791 2004 3725
1 792 2004 4104
1 793 2004 5152
1 794 2004 4166
1 795 2004 5101
1 796 2004 5150
1 797 2004 3488
1 798 2004 3201
1 799 2004 2640
1 800 2004 5326
1 801 2004 5244
1 802 2004 4259
1 803 2004 4162
1 804 2004 3659
1 805 2004 3659
1 806 2004 5076
1 807 2004 4396
1 808 2004 5089
1 809 2004 5248
1 810 2004 4346
1 811 2004 3734
1 812 2004 3734
1 813 2004 4308
1 814 2004 4308
1 815 2004 5119
1 816 2004 5232
1 817 2004 5144
1 818 2004 5073
1 819 2004 2800
1 820 2004 2800
